id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
9623,FairLunar,FLUNAR,fairlunar,4887,1,2021-05-07T06:09:06.000Z,2021-08-12T21:49:04.000Z
9623,FairLunar,FLUNAR,fairlunar,4887,1,2021-05-07T06:09:06.000Z,2021-08-12T21:49:04.000Z
9624,SafeXI,SXI,safexi,5700,1,2021-05-07T06:34:06.000Z,2021-08-12T21:49:04.000Z
9624,SafeXI,SXI,safexi,5700,1,2021-05-07T06:34:06.000Z,2021-08-12T21:49:04.000Z
9624,SafeXI,SXI,safexi,5700,1,2021-05-07T06:34:06.000Z,2021-08-12T21:49:04.000Z
9624,SafeXI,SXI,safexi,5700,1,2021-05-07T06:34:06.000Z,2021-08-12T21:49:04.000Z
9624,SafeXI,SXI,safexi,5700,1,2021-05-07T06:34:06.000Z,2021-08-12T21:49:04.000Z
9625,Triforce Protocol,TFC,triforce-protocol,5131,1,2021-05-07T07:03:04.000Z,2021-08-12T21:49:04.000Z
9625,Triforce Protocol,TFC,triforce-protocol,5131,1,2021-05-07T07:03:04.000Z,2021-08-12T21:49:04.000Z
9625,Triforce Protocol,TFC,triforce-protocol,5131,1,2021-05-07T07:03:04.000Z,2021-08-12T21:49:04.000Z
9625,Triforce Protocol,TFC,triforce-protocol,5131,1,2021-05-07T07:03:04.000Z,2021-08-12T21:49:04.000Z
9625,Triforce Protocol,TFC,triforce-protocol,5131,1,2021-05-07T07:03:04.000Z,2021-08-12T21:49:04.000Z
9626,Emblem,EMB,emblem,3650,1,2021-05-07T08:04:05.000Z,2021-08-12T21:49:04.000Z
9626,Emblem,EMB,emblem,3650,1,2021-05-07T08:04:05.000Z,2021-08-12T21:49:04.000Z
9626,Emblem,EMB,emblem,3650,1,2021-05-07T08:04:05.000Z,2021-08-12T21:49:04.000Z
9626,Emblem,EMB,emblem,3650,1,2021-05-07T08:04:05.000Z,2021-08-12T21:49:04.000Z
9626,Emblem,EMB,emblem,3650,1,2021-05-07T08:04:05.000Z,2021-08-12T21:49:04.000Z
9627,ComfyToken,COMFY,comfytoken,4600,1,2021-05-07T08:12:06.000Z,2021-08-12T21:49:04.000Z
9627,ComfyToken,COMFY,comfytoken,4600,1,2021-05-07T08:12:06.000Z,2021-08-12T21:49:04.000Z
9627,ComfyToken,COMFY,comfytoken,4600,1,2021-05-07T08:12:06.000Z,2021-08-12T21:49:04.000Z
9627,ComfyToken,COMFY,comfytoken,4600,1,2021-05-07T08:12:06.000Z,2021-08-12T21:49:04.000Z
9627,ComfyToken,COMFY,comfytoken,4600,1,2021-05-07T08:12:06.000Z,2021-08-12T21:49:04.000Z
9628,Raptor Token,RAPTR,raptor-token,3674,1,2021-05-07T09:21:06.000Z,2021-08-12T21:46:04.000Z
9628,Raptor Token,RAPTR,raptor-token,3674,1,2021-05-07T09:21:06.000Z,2021-08-12T21:46:04.000Z
9628,Raptor Token,RAPTR,raptor-token,3674,1,2021-05-07T09:21:06.000Z,2021-08-12T21:46:04.000Z
9628,Raptor Token,RAPTR,raptor-token,3674,1,2021-05-07T09:21:06.000Z,2021-08-12T21:46:04.000Z
9628,Raptor Token,RAPTR,raptor-token,3674,1,2021-05-07T09:21:06.000Z,2021-08-12T21:46:04.000Z
9629,GMR Finance,GMR,gmr-finance,3287,1,2021-05-07T09:24:06.000Z,2021-08-12T21:49:04.000Z
9629,GMR Finance,GMR,gmr-finance,3287,1,2021-05-07T09:24:06.000Z,2021-08-12T21:49:04.000Z
9629,GMR Finance,GMR,gmr-finance,3287,1,2021-05-07T09:24:06.000Z,2021-08-12T21:49:04.000Z
9629,GMR Finance,GMR,gmr-finance,3287,1,2021-05-07T09:24:06.000Z,2021-08-12T21:49:04.000Z
9629,GMR Finance,GMR,gmr-finance,3287,1,2021-05-07T09:24:06.000Z,2021-08-12T21:49:04.000Z
9630,Safeicarus,SAFEICARUS,safeicarus,4521,1,2021-05-07T09:33:06.000Z,2021-08-12T21:49:04.000Z
9630,Safeicarus,SAFEICARUS,safeicarus,4521,1,2021-05-07T09:33:06.000Z,2021-08-12T21:49:04.000Z
9630,Safeicarus,SAFEICARUS,safeicarus,4521,1,2021-05-07T09:33:06.000Z,2021-08-12T21:49:04.000Z
9630,Safeicarus,SAFEICARUS,safeicarus,4521,1,2021-05-07T09:33:06.000Z,2021-08-12T21:49:04.000Z
9630,Safeicarus,SAFEICARUS,safeicarus,4521,1,2021-05-07T09:33:06.000Z,2021-08-12T21:49:04.000Z
9631,Polkally,KALLY,polkally,2120,1,2021-05-25T16:42:05.000Z,2021-08-12T21:47:04.000Z
9631,Polkally,KALLY,polkally,2120,1,2021-05-25T16:42:05.000Z,2021-08-12T21:47:04.000Z
9631,Polkally,KALLY,polkally,2120,1,2021-05-25T16:42:05.000Z,2021-08-12T21:47:04.000Z
9631,Polkally,KALLY,polkally,2120,1,2021-05-25T16:42:05.000Z,2021-08-12T21:47:04.000Z
